Role,Education,Experience,Salary,Role_Encoded,Education_Encoded
Data Scientist,PhD,5,2807600.0,22,2
HR,PhD,26,15224500.0,34,2
Analyst,PhD,22,11614300.0,4,2
HR,PhD,4,1258700.0,34,2
Data Scientist,Bachelor's,26,19043500.0,22,0
HR,PhD,14,3904000.0,34,2
Manager,PhD,9,6653000.0,43,2
Analyst,PhD,5,1685600.0,4,2
HR,Bachelor's,18,3843300.0,34,0
Data Scientist,PhD,3,2250800.0,22,2
Manager,Bachelor's,2,1882200.0,43,0
HR,PhD,15,4375200.0,34,2
Software Engineer,Master's,12,4054900.0,62,1
Software Engineer,Bachelor's,11,2785500.0,62,0
Software Engineer,Master's,10,3224300.0,62,1
Software Engineer,Bachelor's,17,5504100.0,62,0
Analyst,Bachelor's,16,3681500.0,4,0
Software Engineer,Bachelor's,22,9684000.0,62,0
Manager,Master's,14,9534700.0,43,1
Software Engineer,PhD,23,17341000.0,62,2
Manager,PhD,8,5940500.0,43,2
Software Engineer,Master's,24,15785500.0,62,1
Data Scientist,PhD,25,27207800.0,22,2
HR,Bachelor's,4,790100.0,34,0
Software Engineer,Master's,17,7143800.0,62,1
HR,Master's,14,3181800.0,34,1
Analyst,PhD,12,3735600.0,4,2
Manager,PhD,2,3004000.0,43,2
HR,Master's,13,2847800.0,34,1
Manager,PhD,21,25928300.0,43,2
Manager,Master's,11,6780400.0,43,1
Manager,Bachelor's,18,11542900.0,43,0
Analyst,PhD,19,8264300.0,4,2
Manager,Master's,12,7599300.0,43,1
Analyst,Master's,21,8429000.0,4,1
Analyst,Bachelor's,13,2614000.0,4,0
Analyst,PhD,22,11607600.0,4,2
HR,Bachelor's,8,1247400.0,34,0
Software Engineer,Master's,22,12589700.0,62,1
Manager,PhD,29,64195200.0,43,2
HR,PhD,17,5486900.0,34,2
Software Engineer,PhD,22,15489700.0,62,2
Manager,Bachelor's,11,5221200.0,43,0
Manager,Master's,6,3844900.0,43,1
Data Scientist,PhD,5,2825700.0,22,2
Software Engineer,PhD,20,12343200.0,62,2
Data Scientist,Bachelor's,12,3886700.0,22,0
HR,Bachelor's,27,10659400.0,34,0
Software Engineer,Master's,24,15781700.0,62,1
Manager,Bachelor's,28,35817100.0,43,0
HR,PhD,13,3487400.0,34,2
Manager,Master's,16,11954800.0,43,1
Analyst,Bachelor's,23,8136200.0,4,0
Analyst,Bachelor's,12,2337800.0,4,0
Software Engineer,Master's,10,3221500.0,62,1
HR,PhD,22,9684300.0,34,2
Manager,Bachelor's,15,8205200.0,43,0
Data Scientist,PhD,0,1595700.0,22,2
Data Scientist,PhD,17,10988300.0,22,2
HR,Master's,5,1136300.0,34,1
Software Engineer,PhD,6,2531100.0,62,2
Software Engineer,Master's,27,22181600.0,62,1
Analyst,Bachelor's,8,1477600.0,4,0
Software Engineer,Bachelor's,8,1988200.0,62,0
Data Scientist,Bachelor's,15,5476900.0,22,0
HR,PhD,4,1249200.0,34,2
Analyst,PhD,17,6591700.0,4,2
Analyst,Master's,12,3039200.0,4,1
Data Scientist,Bachelor's,8,2477600.0,22,0
HR,PhD,2,1002400.0,34,2
HR,Bachelor's,9,1386500.0,34,0
Analyst,Bachelor's,9,1669600.0,4,0
Analyst,Bachelor's,19,5177700.0,4,0
Analyst,PhD,6,1895600.0,4,2
HR,PhD,28,19112100.0,34,2
Software Engineer,PhD,17,8785000.0,62,2
Analyst,PhD,16,5894800.0,4,2
Manager,Master's,2,2440800.0,43,1
Data Scientist,PhD,21,17291300.0,22,2
Manager,PhD,29,64192700.0,43,2
Software Engineer,PhD,24,19434200.0,62,2
Software Engineer,PhD,5,2252100.0,62,2
Analyst,PhD,29,25677400.0,4,2
Manager,Master's,27,41582600.0,43,1
Analyst,PhD,9,2666100.0,4,2
Manager,Master's,1,2184400.0,43,1
Analyst,Bachelor's,5,1059100.0,4,0
HR,Master's,24,9866800.0,34,1
Software Engineer,Master's,23,14090700.0,62,1
Data Scientist,PhD,10,4965400.0,22,2
HR,Master's,18,4997800.0,34,1
Manager,PhD,19,20672300.0,43,2
Manager,PhD,8,5942500.0,43,2
Analyst,PhD,26,18279300.0,4,2
Manager,Master's,12,7597500.0,43,1
Manager,Master's,6,3848200.0,43,1
Analyst,PhD,8,2379600.0,4,2
Software Engineer,Master's,3,1466000.0,62,1
HR,Bachelor's,26,9515700.0,34,0
HR,PhD,19,6901700.0,34,2
Manager,Master's,15,10668600.0,43,1
Software Engineer,PhD,17,8795600.0,62,2
Data Scientist,Master's,13,5670000.0,22,1
Manager,PhD,17,16477500.0,43,2
Analyst,PhD,7,2127100.0,4,2
HR,Bachelor's,1,567300.0,34,0
HR,Master's,19,5600400.0,34,1
Analyst,Master's,24,11839500.0,4,1
HR,Master's,17,4468000.0,34,1
HR,Bachelor's,5,880400.0,34,0
Manager,Master's,1,2185100.0,43,1
HR,Bachelor's,28,11939100.0,34,0
HR,Master's,2,811100.0,34,1
Data Scientist,PhD,1,1794000.0,22,2
Analyst,Bachelor's,6,1188800.0,4,0
Software Engineer,Bachelor's,4,1250500.0,62,0
Analyst,PhD,8,2372900.0,4,2
Data Scientist,Bachelor's,1,1133200.0,22,0
Software Engineer,PhD,3,1789200.0,62,2
Data Scientist,PhD,28,38214700.0,22,2
Manager,Master's,0,1951600.0,43,1
Software Engineer,Bachelor's,23,10842700.0,62,0
Analyst,Bachelor's,17,4120300.0,4,0
Software Engineer,Master's,8,2573900.0,62,1
Analyst,Master's,29,20871200.0,4,1
HR,Bachelor's,4,784500.0,34,0
Manager,PhD,28,57327000.0,43,2
Manager,Master's,25,33150300.0,43,1
Data Scientist,Master's,3,1826400.0,22,1
Data Scientist,PhD,7,3538600.0,22,2
Data Scientist,Bachelor's,3,1406400.0,22,0
Software Engineer,PhD,14,6252700.0,62,2
Analyst,Master's,18,5998800.0,4,1
Manager,Master's,24,29592700.0,43,1
Analyst,PhD,29,25684500.0,4,2
Analyst,Master's,28,18627900.0,4,1
Manager,Bachelor's,9,4158900.0,43,0
Software Engineer,Master's,13,4536400.0,62,1
Software Engineer,PhD,13,5586400.0,62,2
Manager,Bachelor's,11,5220000.0,43,0
Data Scientist,PhD,17,10988100.0,22,2
HR,Master's,4,1020400.0,34,1
Software Engineer,PhD,0,1282900.0,62,2
Analyst,PhD,28,22926400.0,4,2
Data Scientist,Bachelor's,3,1401700.0,22,0
Data Scientist,Master's,12,5060300.0,22,1
Analyst,Master's,13,3414200.0,4,1
Data Scientist,Master's,17,8919500.0,22,1
HR,Bachelor's,4,789100.0,34,0
Software Engineer,Bachelor's,21,8648200.0,62,0
HR,Master's,5,1142400.0,34,1
Software Engineer,PhD,22,15491700.0,62,2
Data Scientist,Bachelor's,6,1978300.0,22,0
Manager,Bachelor's,4,2365600.0,43,0
HR,Master's,22,7865400.0,34,1
HR,Master's,2,821800.0,34,1
Manager,PhD,28,57327200.0,43,2
Software Engineer,Bachelor's,28,19109500.0,62,0
Analyst,Master's,6,1545300.0,4,1
Analyst,Bachelor's,29,16052000.0,4,0
Analyst,Bachelor's,0,596900.0,4,0
Data Scientist,PhD,11,5562100.0,22,2
Software Engineer,PhD,29,34237500.0,62,2
Manager,Master's,25,33152800.0,43,1
Data Scientist,PhD,3,2235000.0,22,2
Software Engineer,PhD,27,27298400.0,62,2
Data Scientist,Bachelor's,10,3106600.0,22,0
Manager,Bachelor's,5,2640600.0,43,0
Software Engineer,Bachelor's,23,10839600.0,62,0
Software Engineer,Bachelor's,24,12139000.0,62,0
Data Scientist,Bachelor's,27,21323000.0,22,0
Software Engineer,Bachelor's,20,7713400.0,62,0
Data Scientist,Master's,7,2869000.0,22,1
Data Scientist,PhD,28,38218200.0,22,2
Data Scientist,Bachelor's,16,6128000.0,22,0
HR,Bachelor's,17,3430900.0,34,0
Software Engineer,Bachelor's,13,3487100.0,62,0
Data Scientist,PhD,19,13786400.0,22,2
Manager,Bachelor's,12,5842800.0,43,0
HR,PhD,18,6143600.0,34,2
Data Scientist,Master's,24,19726700.0,22,1
Software Engineer,Master's,20,10036500.0,62,1
Manager,Master's,0,1950700.0,43,1
Software Engineer,Bachelor's,23,10846100.0,62,0
Manager,PhD,16,14711000.0,43,2
Analyst,Bachelor's,21,6487300.0,4,0
Analyst,Bachelor's,21,6479500.0,4,0
Data Scientist,Master's,15,7115000.0,22,1
Data Scientist,Bachelor's,6,1980400.0,22,0
Software Engineer,Master's,10,3223000.0,62,1
Data Scientist,Master's,13,5677600.0,22,1
HR,PhD,2,999300.0,34,2
Analyst,Bachelor's,25,10199600.0,4,0
Software Engineer,Master's,11,3620400.0,62,1
Software Engineer,Bachelor's,13,3489100.0,62,0
Data Scientist,Bachelor's,27,21316800.0,22,0
Analyst,Master's,9,2167800.0,4,1
Analyst,Master's,19,6720300.0,4,1
Analyst,PhD,13,4196500.0,4,2
Data Scientist,Master's,15,7118900.0,22,1
Manager,Master's,11,6780300.0,43,1
Analyst,Master's,17,5356500.0,4,1
Analyst,PhD,21,10363500.0,4,2
Manager,Master's,19,16802400.0,43,1
Manager,Bachelor's,10,4657600.0,43,0
HR,PhD,14,3906300.0,34,2
Manager,Master's,4,3069900.0,43,1
Manager,Bachelor's,5,2652700.0,43,0
Software Engineer,Master's,20,10035600.0,62,1
Data Scientist,Bachelor's,2,1256900.0,22,0
Data Scientist,Master's,11,4522500.0,22,1
Data Scientist,Master's,16,7965000.0,22,1
Software Engineer,PhD,29,34239500.0,62,2
Analyst,Master's,12,3045700.0,4,1
Data Scientist,Master's,20,12541900.0,22,1
HR,PhD,1,896400.0,34,2
Analyst,Bachelor's,9,1657500.0,4,0
Manager,PhD,24,36430600.0,43,2
Analyst,Bachelor's,1,661700.0,4,0
HR,Master's,20,6271900.0,34,1
Analyst,Bachelor's,9,1673500.0,4,0
Data Scientist,Bachelor's,21,10800000.0,22,0
HR,Master's,29,17377100.0,34,1
HR,Master's,11,2261200.0,34,1
Data Scientist,PhD,29,42800000.0,22,2
Data Scientist,Master's,23,17616700.0,22,1
Manager,Master's,23,26427200.0,43,1
HR,Bachelor's,29,13377300.0,34,0
Software Engineer,PhD,17,8786100.0,62,2
Manager,Master's,13,8512000.0,43,1
Software Engineer,Master's,9,2879100.0,62,1
Data Scientist,Bachelor's,19,8613800.0,22,0
HR,PhD,6,1584900.0,34,2
Data Scientist,PhD,0,1598900.0,22,2
HR,Master's,19,5609100.0,34,1
Data Scientist,Master's,29,34767800.0,22,1
HR,Master's,11,2258500.0,34,1
Software Engineer,PhD,1,1426500.0,62,2
Data Scientist,Master's,3,1817300.0,22,1
Software Engineer,Master's,18,7998300.0,62,1
Data Scientist,Bachelor's,29,26758000.0,22,0
Software Engineer,Master's,20,10031600.0,62,1
Software Engineer,Master's,24,15779600.0,62,1
HR,PhD,28,19108000.0,34,2
Manager,Master's,7,4314300.0,43,1
Analyst,Master's,10,2436600.0,4,1
Analyst,Master's,12,3041000.0,4,1
HR,PhD,25,13604000.0,34,2
Data Scientist,PhD,7,3541000.0,22,2
HR,Bachelor's,4,789900.0,34,0
Manager,Master's,19,16790100.0,43,1
Data Scientist,PhD,9,4438500.0,22,2
Analyst,PhD,14,4694500.0,4,2
Software Engineer,PhD,11,4449000.0,62,2
Data Scientist,Bachelor's,4,1573500.0,22,0
HR,Bachelor's,16,3065800.0,34,0
Manager,PhD,7,5307600.0,43,2
Data Scientist,Bachelor's,11,3480700.0,22,0
Analyst,Master's,4,1214600.0,4,1
Analyst,Master's,27,16634100.0,4,1
Manager,Bachelor's,1,1680800.0,43,0
Manager,Master's,5,3438700.0,43,1
Analyst,Bachelor's,0,602800.0,4,0
HR,PhD,9,2212200.0,34,2
Manager,Bachelor's,14,7330000.0,43,0
Manager,Master's,18,14995800.0,43,1
Data Scientist,Master's,3,1821400.0,22,1
Data Scientist,Bachelor's,2,1245900.0,22,0
Software Engineer,Bachelor's,20,7713700.0,62,0
Software Engineer,Master's,3,1455700.0,62,1
HR,Bachelor's,12,1944000.0,34,0
Analyst,Bachelor's,1,667000.0,4,0
Data Scientist,Bachelor's,6,1969900.0,22,0
Manager,PhD,23,32527300.0,43,2
Manager,Master's,9,5413000.0,43,1
Analyst,Bachelor's,26,11421000.0,4,0
Software Engineer,PhD,22,15487000.0,62,2
Manager,PhD,1,2688500.0,43,2
Software Engineer,Master's,15,5701400.0,62,1
Manager,Master's,11,6784700.0,43,1
Analyst,PhD,21,10375600.0,4,2
Data Scientist,PhD,27,34121900.0,22,2
Software Engineer,PhD,20,12352200.0,62,2
Data Scientist,PhD,21,17285100.0,22,2
HR,PhD,22,9680300.0,34,2
Software Engineer,Master's,4,1638900.0,62,1
HR,PhD,29,21394200.0,34,2
Analyst,PhD,12,3742200.0,4,2
Analyst,PhD,24,14569100.0,4,2
Data Scientist,Master's,4,2040700.0,22,1
Data Scientist,Master's,8,3227800.0,22,1
Analyst,PhD,20,9258700.0,4,2
Software Engineer,Bachelor's,6,1585500.0,62,0
Software Engineer,Bachelor's,16,4907600.0,62,0
HR,Master's,24,9864400.0,34,1
Manager,PhD,18,18449500.0,43,2
Analyst,Master's,0,781300.0,4,1
HR,PhD,16,4899900.0,34,2
Analyst,Master's,11,2717700.0,4,1
Software Engineer,PhD,25,21758800.0,62,2
Manager,Bachelor's,27,31972300.0,43,0
Software Engineer,Bachelor's,23,10844700.0,62,0
HR,Master's,14,3171700.0,34,1
Software Engineer,Bachelor's,12,3111900.0,62,0
Manager,Master's,20,18805000.0,43,1
Software Engineer,PhD,12,4976100.0,62,2
HR,PhD,19,6887300.0,34,2
HR,PhD,15,4377600.0,34,2
Manager,Bachelor's,12,5849700.0,43,0
HR,Master's,18,4995500.0,34,1
Manager,PhD,21,25927600.0,43,2
Data Scientist,PhD,29,42800000.0,22,2
Analyst,PhD,16,5887300.0,4,2
Manager,PhD,16,14711300.0,43,2
Analyst,Bachelor's,3,855500.0,4,0
Software Engineer,PhD,23,17346800.0,62,2
HR,Master's,9,1808900.0,34,1
Manager,PhD,16,14709900.0,43,2
Software Engineer,PhD,27,27296700.0,62,2
Manager,PhD,12,9339800.0,43,2
Analyst,Bachelor's,20,5787900.0,4,0
Manager,PhD,29,64192100.0,43,2
Analyst,Master's,17,5360400.0,4,1
Software Engineer,Bachelor's,17,5499300.0,62,0
Analyst,Master's,29,20859400.0,4,1
Analyst,Master's,26,14859200.0,4,1
Software Engineer,PhD,8,3173000.0,62,2
Analyst,Bachelor's,27,12793500.0,4,0
Analyst,Master's,10,2419800.0,4,1
Analyst,Bachelor's,5,1053600.0,4,0
Analyst,PhD,23,13012300.0,4,2
Analyst,Master's,4,1224300.0,4,1
Analyst,Master's,9,2156400.0,4,1
Analyst,Master's,16,4771100.0,4,1
Analyst,PhD,29,25679500.0,4,2
Data Scientist,Master's,17,8913900.0,22,1
HR,Master's,18,5001000.0,34,1
Data Scientist,Bachelor's,17,6863900.0,22,0
Manager,PhD,21,25925500.0,43,2
HR,Bachelor's,15,2738500.0,34,0
Software Engineer,PhD,12,4981600.0,62,2
Software Engineer,Master's,18,7998200.0,62,1
HR,Master's,8,1606400.0,34,1
Analyst,PhD,2,1198000.0,4,2
Manager,Bachelor's,4,2359300.0,43,0
Analyst,Bachelor's,7,1324100.0,4,0
HR,Master's,13,2833500.0,34,1
Software Engineer,Bachelor's,1,892700.0,62,0
Software Engineer,Bachelor's,19,6887100.0,62,0
Manager,Master's,21,21064900.0,43,1
Manager,PhD,2,3008200.0,43,2
HR,PhD,6,1570100.0,34,2
HR,Bachelor's,24,7594700.0,34,0
Data Scientist,Bachelor's,24,15186600.0,22,0
HR,PhD,2,1004200.0,34,2
HR,Master's,9,1794000.0,34,1
Analyst,Master's,2,968600.0,4,1
Software Engineer,PhD,19,11023900.0,62,2
Software Engineer,Master's,17,7150400.0,62,1
Software Engineer,Bachelor's,10,2475000.0,62,0
HR,PhD,26,15224600.0,34,2
Analyst,Bachelor's,14,2936800.0,4,0
Analyst,Bachelor's,28,14338300.0,4,0
Software Engineer,Master's,17,7140700.0,62,1
HR,PhD,17,5489500.0,34,2
Manager,PhD,9,6656500.0,43,2
Data Scientist,PhD,15,8758700.0,22,2
Data Scientist,Master's,29,34770400.0,22,1
HR,Bachelor's,15,2738300.0,34,0
HR,PhD,12,3112900.0,34,2
Analyst,Bachelor's,26,11429000.0,4,0
Data Scientist,PhD,9,4429400.0,22,2
HR,PhD,5,1415700.0,34,2
HR,PhD,25,13598000.0,34,2
Manager,Bachelor's,28,35824700.0,43,0
Analyst,Master's,2,979600.0,4,1
HR,PhD,0,797700.0,34,2
Data Scientist,PhD,3,2240900.0,22,2
Manager,PhD,17,16478700.0,43,2
Manager,PhD,27,51185000.0,43,2
Software Engineer,Bachelor's,10,2482000.0,62,0
Manager,Master's,17,13388400.0,43,1
Analyst,Bachelor's,9,1663300.0,4,0
Analyst,Master's,28,18626200.0,4,1
Data Scientist,Master's,11,4525500.0,22,1
Software Engineer,PhD,9,3548700.0,62,2
HR,Master's,25,11055700.0,34,1
Analyst,Master's,7,1730700.0,4,1
HR,Master's,14,3175000.0,34,1
HR,PhD,19,6890800.0,34,2
HR,PhD,10,2485800.0,34,2
Data Scientist,Master's,29,34772100.0,22,1
Manager,Master's,13,8507900.0,43,1
Software Engineer,Bachelor's,6,1581700.0,62,0
HR,PhD,21,8645800.0,34,2
Analyst,Master's,13,3406900.0,4,1
Data Scientist,Bachelor's,28,23879500.0,22,0
Data Scientist,Master's,28,31049500.0,22,1
Analyst,Bachelor's,21,6485200.0,4,0
Software Engineer,Bachelor's,15,4378200.0,62,0
Analyst,Master's,13,3403200.0,4,1
Software Engineer,PhD,27,27298300.0,62,2
Analyst,PhD,28,22923200.0,4,2
Analyst,Bachelor's,26,11427200.0,4,0
Data Scientist,Master's,1,1460300.0,22,1
Software Engineer,PhD,9,3551600.0,62,2
Data Scientist,Bachelor's,21,10808800.0,22,0
Data Scientist,Master's,20,12532000.0,22,1
Data Scientist,Master's,25,22105400.0,22,1
HR,PhD,23,10844600.0,34,2
Analyst,Bachelor's,0,601000.0,4,0
Analyst,Bachelor's,29,16049600.0,4,0
Software Engineer,PhD,2,1601400.0,62,2
Analyst,Bachelor's,25,10202800.0,4,0
HR,Bachelor's,23,6778300.0,34,0
Analyst,PhD,16,5882300.0,4,2
Manager,Master's,14,9532200.0,43,1
Manager,Bachelor's,14,7326300.0,43,0
Data Scientist,PhD,3,2237000.0,22,2
Data Scientist,PhD,17,10979700.0,22,2
Data Scientist,PhD,8,3965900.0,22,2
Manager,PhD,2,3000800.0,43,2
Analyst,PhD,16,5888600.0,4,2
Analyst,Master's,20,7525400.0,4,1
Analyst,Bachelor's,0,596100.0,4,0
Analyst,Bachelor's,22,7259900.0,4,0
Software Engineer,Master's,18,7995500.0,62,1
Manager,Bachelor's,19,12920900.0,43,0
HR,Bachelor's,3,700000.0,34,0
Software Engineer,Master's,21,11241400.0,62,1
Data Scientist,Bachelor's,3,1410100.0,22,0
HR,Master's,25,11057400.0,34,1
HR,Bachelor's,15,2731000.0,34,0
Software Engineer,Bachelor's,1,896200.0,62,0
Analyst,Master's,13,3398100.0,4,1
Analyst,Master's,18,6002100.0,4,1
Software Engineer,PhD,26,24370200.0,62,2
Analyst,Bachelor's,6,1188100.0,4,0
Analyst,PhD,4,1512400.0,4,2
Software Engineer,Master's,8,2577900.0,62,1
Software Engineer,Bachelor's,28,19104900.0,62,0
Data Scientist,Bachelor's,14,4882100.0,22,0
HR,Master's,17,4464300.0,34,1
Manager,Master's,2,2444600.0,43,1
Manager,Master's,29,52166500.0,43,1
Analyst,Master's,15,4270200.0,4,1
Software Engineer,Bachelor's,5,1409100.0,62,0
Software Engineer,Bachelor's,7,1764800.0,62,0
Analyst,Master's,11,2710700.0,4,1
Software Engineer,Master's,2,1303700.0,62,1
Data Scientist,Bachelor's,2,1251100.0,22,0
Software Engineer,Master's,1,1160700.0,62,1
Manager,Master's,3,2733700.0,43,1
Analyst,PhD,22,11614800.0,4,2
Software Engineer,Master's,28,24841200.0,62,1
Analyst,PhD,1,1070600.0,4,2
Data Scientist,Bachelor's,13,4359800.0,22,0
Data Scientist,PhD,24,24285700.0,22,2
Data Scientist,Bachelor's,29,26748900.0,22,0
Manager,Bachelor's,2,1878500.0,43,0
Data Scientist,Bachelor's,29,26748000.0,22,0
Analyst,Master's,16,4786300.0,4,1
Data Scientist,Bachelor's,3,1413100.0,22,0
Data Scientist,Master's,20,12546700.0,22,1
Analyst,Master's,11,2711500.0,4,1
Data Scientist,PhD,28,38216600.0,22,2
Analyst,Master's,7,1727400.0,4,1
Manager,Bachelor's,10,4654400.0,43,0
Manager,PhD,26,45696500.0,43,2
Manager,Master's,9,5406000.0,43,1
HR,PhD,27,17057600.0,34,2
Manager,Bachelor's,14,7339300.0,43,0
Data Scientist,Bachelor's,9,2778600.0,22,0
Data Scientist,Bachelor's,21,10806000.0,22,0
HR,Bachelor's,10,1549500.0,34,0
Data Scientist,Bachelor's,29,26735400.0,22,0
Data Scientist,Bachelor's,6,1959300.0,22,0
Software Engineer,Master's,1,1166600.0,62,1
Software Engineer,Master's,13,4545900.0,62,1
Analyst,Master's,16,4785100.0,4,1
HR,Master's,5,1144800.0,34,1
Data Scientist,PhD,11,5572000.0,22,2
Manager,Master's,21,21067000.0,43,1
Data Scientist,Bachelor's,12,3900600.0,22,0
HR,Bachelor's,9,1383100.0,34,0
Analyst,Master's,24,11842800.0,4,1
HR,Master's,18,4996900.0,34,1
Manager,Master's,22,23595200.0,43,1
Software Engineer,PhD,2,1596800.0,62,2
Analyst,Bachelor's,2,749400.0,4,0
Manager,Bachelor's,29,40127200.0,43,0
Analyst,PhD,28,22928400.0,4,2
Data Scientist,Bachelor's,8,2470100.0,22,0
Manager,Master's,3,2735700.0,43,1
Manager,PhD,25,40796800.0,43,2
Analyst,PhD,9,2658400.0,4,2
Software Engineer,PhD,15,6999800.0,62,2
Data Scientist,Master's,18,9990700.0,22,1
Data Scientist,Bachelor's,2,1260800.0,22,0
Software Engineer,Bachelor's,2,1007500.0,62,0
Data Scientist,Master's,8,3213900.0,22,1
Software Engineer,Bachelor's,26,15233700.0,62,0
Data Scientist,PhD,5,2817000.0,22,2
Analyst,Bachelor's,16,3678400.0,4,0
Manager,Master's,19,16797900.0,43,1
Data Scientist,Master's,21,14042300.0,22,1
HR,Bachelor's,20,4823800.0,34,0
Software Engineer,PhD,29,34234000.0,62,2
HR,PhD,27,17061100.0,34,2
Software Engineer,Master's,7,2315200.0,62,1
Software Engineer,PhD,2,1606200.0,62,2
Data Scientist,Bachelor's,19,8610000.0,22,0
HR,Bachelor's,28,11946200.0,34,0
Analyst,Master's,24,11842200.0,4,1
Data Scientist,Bachelor's,25,16994100.0,22,0
Software Engineer,Bachelor's,18,6151700.0,62,0
HR,Bachelor's,18,3839600.0,34,0
Manager,PhD,11,8350300.0,43,2
HR,Master's,21,7023900.0,34,1
Analyst,PhD,4,1506100.0,4,2
Software Engineer,Master's,19,8952900.0,62,1
Analyst,Bachelor's,12,2338100.0,4,0
Data Scientist,PhD,24,24288700.0,22,2
Software Engineer,Master's,22,12582500.0,62,1
Data Scientist,Bachelor's,27,21330800.0,22,0
Analyst,Bachelor's,4,941200.0,4,0
Software Engineer,Master's,23,14092100.0,62,1
Analyst,Master's,4,1233500.0,4,1
Analyst,PhD,15,5249600.0,4,2
HR,PhD,20,7716400.0,34,2
Software Engineer,Bachelor's,24,12142300.0,62,0
Manager,Bachelor's,25,25493200.0,43,0
HR,Master's,18,4995500.0,34,1
Data Scientist,PhD,29,42805400.0,22,2
Software Engineer,PhD,7,2821200.0,62,2
HR,Master's,16,3979900.0,34,1
Manager,PhD,5,4229300.0,43,2
Analyst,Bachelor's,3,850200.0,4,0
Data Scientist,Master's,23,17617500.0,22,1
Data Scientist,Bachelor's,28,23885200.0,22,0
Software Engineer,PhD,15,7004300.0,62,2
Analyst,PhD,16,5888500.0,4,2
HR,Master's,10,2011800.0,34,1
Software Engineer,Master's,23,14090900.0,62,1
Manager,Bachelor's,1,1681100.0,43,0
Manager,Master's,6,3846100.0,43,1
Software Engineer,PhD,0,1274700.0,62,2
Software Engineer,Master's,25,17692000.0,62,1
Data Scientist,PhD,23,21680700.0,22,2
Software Engineer,Master's,7,2294800.0,62,1
Analyst,Master's,15,4270500.0,4,1
Manager,Bachelor's,26,28555100.0,43,0
Analyst,Master's,13,3408100.0,4,1
Analyst,PhD,7,2117000.0,4,2
Analyst,Master's,9,2155900.0,4,1
Analyst,PhD,10,2982300.0,4,2
Manager,PhD,16,14713200.0,43,2
Manager,PhD,10,7461500.0,43,2
HR,Bachelor's,14,2442600.0,34,0
Analyst,Master's,19,6719200.0,4,1
Analyst,Master's,17,5345200.0,4,1
Data Scientist,PhD,7,3548900.0,22,2
HR,PhD,4,1257100.0,34,2
Data Scientist,PhD,8,3962600.0,22,2
Manager,PhD,11,8345300.0,43,2
Analyst,PhD,6,1895200.0,4,2
Software Engineer,Bachelor's,9,2215100.0,62,0
HR,Master's,22,7867300.0,34,1
HR,Bachelor's,3,702100.0,34,0
Software Engineer,PhD,2,1602100.0,62,2
HR,Bachelor's,25,8498100.0,34,0
Software Engineer,Bachelor's,10,2475300.0,62,0
Data Scientist,Master's,21,14035800.0,22,1
HR,Bachelor's,6,990800.0,34,0
Analyst,Master's,11,2709700.0,4,1
Manager,Master's,23,26425900.0,43,1
HR,Master's,1,723200.0,34,1
Data Scientist,Bachelor's,10,3107700.0,22,0
Analyst,PhD,22,11616600.0,4,2
Data Scientist,PhD,19,13785300.0,22,2
HR,Master's,27,13851200.0,34,1
Analyst,Master's,21,8426100.0,4,1
HR,Bachelor's,7,1103800.0,34,0
Data Scientist,Bachelor's,4,1571000.0,22,0
Data Scientist,PhD,7,3534600.0,22,2
Analyst,PhD,13,4183200.0,4,2
HR,Master's,5,1152200.0,34,1
Analyst,Bachelor's,2,743300.0,4,0
Analyst,PhD,14,4696900.0,4,2
Analyst,PhD,7,2120400.0,4,2
Manager,PhD,6,4731600.0,43,2
Data Scientist,Master's,18,10000200.0,22,1
Data Scientist,Bachelor's,15,5467600.0,22,0
HR,Master's,24,9864600.0,34,1
Analyst,Master's,11,2718000.0,4,1
Manager,Master's,3,2740300.0,43,1
Manager,PhD,27,51184600.0,43,2
Software Engineer,Master's,18,7999900.0,62,1
Manager,Bachelor's,8,3718500.0,43,0
Analyst,Master's,5,1374200.0,4,1
Manager,PhD,7,5311600.0,43,2
HR,Bachelor's,9,1392800.0,34,0
Data Scientist,PhD,7,3533400.0,22,2
Analyst,PhD,7,2115600.0,4,2
HR,PhD,26,15231200.0,34,2
HR,Bachelor's,29,13371900.0,34,0
Software Engineer,Master's,1,1170100.0,62,1
Data Scientist,PhD,14,7815100.0,22,2
HR,Master's,19,5592900.0,34,1
Data Scientist,Master's,21,14050200.0,22,1
Manager,PhD,10,7448700.0,43,2
HR,PhD,27,17062000.0,34,2
Data Scientist,PhD,11,5574500.0,22,2
HR,Bachelor's,0,499400.0,34,0
Analyst,Bachelor's,28,14321100.0,4,0
HR,Master's,5,1148600.0,34,1
Manager,Bachelor's,12,5833500.0,43,0
Data Scientist,Bachelor's,16,6133800.0,22,0
Software Engineer,PhD,10,3972200.0,62,2
Software Engineer,Bachelor's,10,2484400.0,62,0
Analyst,PhD,20,9264500.0,4,2
Software Engineer,Master's,3,1456900.0,62,1
HR,Master's,11,2264700.0,34,1
Manager,PhD,3,3365500.0,43,2
Analyst,PhD,21,10380100.0,4,2
Data Scientist,Bachelor's,26,19036400.0,22,0
Analyst,PhD,26,18282400.0,4,2
Data Scientist,Bachelor's,8,2476600.0,22,0
Data Scientist,Bachelor's,12,3893600.0,22,0
Analyst,Bachelor's,1,672900.0,4,0
HR,PhD,28,19111000.0,34,2
